"id","site","long","lat","state","pi","depth","ASH","BEECH","BIRCH","ELM","HEMLOCK","MAPLE","OAK","OTHER.CONIFER","OTHER.HARDWOOD","PINE","SPRUCE","TAMARACK"
"13056","Oak Glen Lake",-93.0876,43.9343,"minnesota","Cushing, Edward J.",258,2,0,17,6,0,2,177.5,0,42,23,1.5,0
"10971","Ocheda Lake",-95.64,43.59,"minnesota","Cushing, Edward J.",36,3,0,10,2,0,80,27,1,12,25,2,0
"10977","Olson Lake",-93.6619,46.5137,"minnesota","Cushing, Edward J.",1080,5,0,78,5,0,5,39,3.5,81,317,9,5.5
"1830","Lake Onamia",-93.68,46.068333,"minnesota","McAndrews, John H.",30,4,0,45,3,0,1,31,1,25,235,6,3
"1831","Ondris Pond",-94.4,46.35,"minnesota","Jacobson, George L., Jr.",210,3,0,34,4,0,3,34,0,25,140,3,1
"1840","Otto Mielke Lake",-89.625,45.933333,"wisconsin","Shane, Linda C. K.",22.25,0,0,53,2,17,3,11,4,17,188,4,1
"1884","Pennington Lake",-93.273056,45.780556,"minnesota","McAndrews, John H.",50,2,0,27,11,0,1,73,0,30,177,2,3
"12009","Perch Lake",-95.4724,46.1959,"minnesota","Cushing, Edward J.",80,9,0,39,7,0,1,100,0,50,56,3.5,0
"1891","Peterson Slough",-95.316667,46.966667,"minnesota","Almendinger, John C.",100,4,0,28,9,0,0,46,0,10,219,5.5,3
"3541","Pogonia Bog Pond",-93.633333,45.033333,"minnesota","Cushing, Edward J.",35,6,0,5,12,0,24,116,0,34,27,0,18
"1955","Pleasant Lake (US:Minnesota)",-93.566667,44.588889,"minnesota","McAndrews, John H.",40,3,0,18,15,0,3,173,0,41,76,4,0
"3558","Pogonia Bog Pond",-93.633333,45.033333,"minnesota","Cushing, Edward J.",330,8,0,11,30,0,15,120,0,93,9,0,8
"1966","Portage Lake",-94.113333,47.081389,"minnesota","McAndrews, John H.",35,1,0,57,1,2,3,14,2,27,215,2,4
"12011","Lake Rachel",-95.5616,45.8078,"minnesota","Cushing, Edward J.",35,7,0,27,16,0,17,145,0,85,44,3.5,0
"2011","Radtke Lake",-88.1,43.4,"wisconsin","Webb, Sara L.",52,6,6,23,18,0,4,151,0,56,16,1,0
"2051","Reichow",-95.775,47.187778,"minnesota","McAndrews, John H.",30,4,0,87,22,0,0,47,0,54,58,4,0
"2053","Reidel Lake",-95.284167,46.211944,"minnesota","Almquist-Jacobson, Heather",496,3,0,34,7,0,1,58,0,40,39.5,3.5,1
"2062","Rholl Lake",-96.166667,47.6,"minnesota","McAndrews, John H.",20,2,0,58,4,1,0,61,1,67,48,4,0
"10983","Round Grove Lake",-94.5,44.718,"minnesota","Cushing, Edward J.",45,9,0,27,26,2,2,119,0,73,65,4,1
"2309","Ruby Lake",-91.458333,45.283333,"wisconsin","Winkler, Marjorie Green",150,7,3,112,7,0,12,92,0,48,146,2,11
"2314","Rutz Lake",-93.87,44.87,"minnesota","Waddington, Jean C.B.",560,8,0,14,47,1,1,182,0,79,26,0,1
"2318","Ryerse Lake",-85.179167,46.131944,"michigan:north","Futyma, Richard P.",4.5,4,55,282,15,36,27,39,10,34,218,16,3
"2354","Sedivy Lake",-95.833333,47.208889,"minnesota","McAndrews, John H.",60,3,0,50,17,0,4,111,2,53,148,6,0
"3620","Seidel",-87.515556,44.45,"wisconsin","Maher, Louis J., Jr.",40,1,12,32,3,55,4,31,0,8,50,0,4
"2375","Shagawa Lake",-91.866667,47.916667,"minnesota","Bradbury, J. Platt",40,3,0,54,1,1,2,11,4,88,353,31,5
"2383","Silver Lake (US:Minnesota)",-94.2,44.9,"minnesota","McAndrews, John H.",70,0,0,11,9,0,0,76,0,24,43,2,0
"2394","Siseebakwet South",-93.683333,47.133333,"minnesota","Cushing, Edward J.",41,8,0,140,5,1,3,15,1.5,37,111.5,5,4
"2581","Solum Lake",-96.25,46.662222,"minnesota","McAndrews, John H.",40,2,0,23,7,1,1,52,0,32,36,1,2
"2584","South Stanchfield Lake",-93.466667,45.725,"minnesota","McAndrews, John H.",30,1,0,8,22,0,5,18,1,27,234,3,0
"10970","South Heron Lake",-95.27,43.75,"minnesota","Cushing, Edward J.",36,5,0,4,5,0,6,41,1,16,36,0,0
"2585","Spectacle Lake",-93.408333,45.572222,"minnesota","McAndrews, John H.",40,5,0,53,13,0,2,104,1,66,196,3,4
"2586","Spirit Lake (US:Michigan)",-86.958333,46.47,"michigan:north","Davis, Margaret B.",20,3,9,171,12,96,12,16,1,29,112,7,0
"2600","St. Catherines Lake",-93.4325,44.626944,"minnesota","McAndrews, John H.",50,6,0,6,22,2,5,166,0,63,23,0,1
"2605","Stone Lake",-93.522222,45.4,"minnesota","McAndrews, John H.",30,2,0,30,10,1,0,144,1,34,97,0,3
"2613","Sunfish Lake",-93.1,44.874722,"minnesota","McAndrews, John H.",40,1,1,22,21,3,2,142,1,40,89,2,0
"2624","Tamarack Creek",-91.45,44.15,"wisconsin","Davis, Anthony M.",13,0,0,1,1,0,1,26,1,6,90,1,85
"2638","Terhell Pond",-95.770556,47.187778,"minnesota","McAndrews, John H.",40,4,0,117,27,0,2,55,0,76,71,4,1
"3784","Third Lake",-92.016667,48.108333,"minnesota","Swain, Patricia C.",184,0,0,52,1,0,0,0,1,43,267,35,3
"2640","Thompson",-96.083333,47.2,"minnesota","McAndrews, John H.",30,1,0,44,9,0,1,36,0,32,53,7,0
"3786","Third Lake",-92.016667,48.108333,"minnesota","Swain, Patricia C.",40,1,0,51,0,3,1,7,4,38,274,39,0
"3788","Third Lake",-92.016667,48.108333,"minnesota","Swain, Patricia C.",60,2,0,66,2,2,0,8,1,37,357,73,5
"2648","Toenjes Lake",-93.981389,45.409722,"minnesota","McAndrews, John H.",60,7,0,26,20,0,4,144,0,44,82,4,3
"2881","Twin Lakes",-93.167778,45.848889,"minnesota","McAndrews, John H.",50,4,0,35,1,2,2,41,0,31,224,0,3
"12015","Union Lake",-95.3484,45.8207,"minnesota","Cushing, Edward J.",45,7,0,46,15,0,3,117,0,75,51.5,4.5,0
"2888","Upper Graven Lake",-95.306944,46.184444,"minnesota","Almquist-Jacobson, Heather",160,2,0,45,3,0,1,79,1,29,36.5,6,1
"3831","Vestaburg Bog",-84.883333,43.416667,"michigan:south","Gilliam, Jeanne A.",618,17,33,25,30,23,25,245,0,35,90,0,3
"3837","Weber Lake",-91.66,47.471667,"minnesota","Fries, Magnus",60,4,0,140,0,4,0,15,22,49,361,140,18
"2948","Wentzel's Pond",-94.95,46.95,"minnesota","Almendinger, John C.",55,3,0,14,0,0,1,9,1,19,158.5,2,0
"13051","West Olaf Lake",-96.198,46.6043,"minnesota","Nelson, David M.",165,3,0,22,8,0,0,78,0,89,61,3,0
"2952","White Lily Lake",-93.102778,46.086111,"minnesota","McAndrews, John H.",40,8,0,95,5,0,5,50,5,32,328,2,7
"2961","Wintergreen Lake",-85.383333,42.4,"michigan:south","Bailey, Robert E.",68,4,13,10,11,0,1,177,0,16,5,0,0
"3031","Wolsfeld Lake",-93.577,45.008,"minnesota","Grimm, Eric Christopher",714,9,0,30,33,0,35.5,228,0,151,34,1.5,2
"3032","Wolverine Lake",-85.661111,46.429167,"michigan:north","Futyma, Richard P.",15,0,16,112,5,23,12,11,5,24,285,20,1
"3035","Wood Lake",-90.083333,45.333333,"wisconsin","Heide, Kathleen M.",100,3,0,84,1,65,8,14,3,19,113,2,5
"12012","Ziebell Lake",-95.2663,46.0572,"minnesota","Cushing, Edward J.",50,7,0,91,14,1,2,90,0,93,25.5,2,3
"CLH8","Adeline",-91.194,45.302,"wisconsin","R. Calcote",28.5,2,0,174,9,20,9,52,2,49,233,3,1
"CLH1","Elevenses",-91.496,46.382,"wisconsin","R. Calcote",26.5,1,0,28,3,4,2,9,1,8,108,4,0
"CLH9","Eska",-90.60789,45.1915,"wisconsin","R. Calcote",17.5,6,1,141,8,91,8,23,2,14,230,5,0
"CLH7","Fallison",-89.61883,45.9939,"wisconsin","R. Calcote",23.5,5,0,106,8,11,8,22,4,28,248,10,0
"CLH3","HellHole",-92.219,45.7865,"wisconsin","R. Calcote",16.5,10,1,86,8,3,7,56,1,36,269,8,4
"CLH4","Lily",-92.272,45.901,"wisconsin","R. Calcote",34.5,3,0,60,4,1,5,64,2,45,219,8,0
"CLH5","Lone02",-92.2359,45.932,"wisconsin","R. Calcote",17.5,9,0,98,13,0,7,72,3.5,54,313,6,0
"CLH6","Warner",-92.039,46.121,"wisconsin","M. Tweiten",38.5,0,0,26,5,1,0,12,5,18,156,2,0
"CALPRE1","Adventure",-91.94,46.09,"wisconsin","R. Calcote",NA,1,0,49,9,3,1,32,2,19,376,7,0
"CALPRE2","Benach",-92.256,45.9271,"wisconsin","R. Calcote",NA,1,0,34,8,1,2,19,2,24,159,2,0
"CALPRE3","BlueJ",-91.528,46.407,"wisconsin","R. Calcote",NA,1,0,63,0,3,0,17,0,35,228,4,0
"CALPRE4","Brozie",-92.1084,45.9599,"wisconsin","R. Calcote",NA,3,0,55,0,1,1,33,1,16,444,7,0
"CALPRE5","Camp2G",-91.41097,46.50213,"wisconsin","R. Calcote",NA,1,0,70,2,2,4,24,1,41,373,7,0
"CALPRE6","Chase",-92.468,45.9267,"wisconsin","R. Calcote",NA,0,0,51,5,7,5,59,1,24,331,9,1
"CALPRE7","Cheney",-91.701,46.382,"wisconsin","R. Calcote",NA,3,0,42,6,1,2,20,2,15,237,5,1
"CALPRE8","Clubhouse",-92.0572,45.9395,"wisconsin","R. Calcote",NA,4,0,68,3,1,6,40,0,36,279,9,0
"CALPRE9","Corwick",-92.197,45.9477,"wisconsin","R. Calcote",NA,8,0,87,6,1,5,52,2,38,285,3,0
"CALPRE10","Crestview",-91.693,46.274,"wisconsin","R. Calcote",NA,2,0,74,4,6,1,22,3,27,298,9,0
"CALPRE11","DeepPine",-91.35,46.543,"wisconsin","R. Calcote",NA,6,0,192,7,18,6,32,5,54,438,14,0
"CALPRE12","DeerPrint",-91.619,46.36,"wisconsin","R. Calcote",NA,2,0,73,3,3,2,32,2,23,316,11,0
"CALPRE13","FirstPine",-91.23631,46.65141,"wisconsin","R. Calcote",NA,9,1,178,7,14,6,42,1,47,382,5,3
"CALPRE14","Genos",-92.083,45.928,"wisconsin","R. Calcote",NA,3,0,20,1,2,4,29,0,24,130,3,0
"CALPRE15","Horseshoe",-92.2786,45.8618,"wisconsin","R. Calcote",NA,5,1,55,3,6,5,57,1,49,301,3,0
"CALPRE16","Jakes",-91.3002,46.5678,"wisconsin","R. Calcote",NA,0,0,52,5,1,1,16,2,12,177,3,0
"CALPRE17","LittleRound",-92.2259,46.0126,"wisconsin","R. Calcote",NA,6,0,41,7,1,4,51,2,32,257,5,4
"CALPRE18","Menke",-92.341,45.872,"wisconsin","R. Calcote",NA,3,1,113,11,4,1,66,2,52,239,7,0
"CALPRE19","Metz01",-91.688,46.318,"wisconsin","R. Calcote",NA,2,0,92,0,5,0,25,4,19,494,17,0
"CALPRE20","Perch",-92.0609,45.9036,"wisconsin","R. Calcote",NA,2,0,59,6,1,6,35,1.5,32,342,5,0
"CALPRE21","Sawdust",-91.27224,46.57128,"wisconsin","R. Calcote",NA,0,0,63,4,2,3,18,4,34,334,9,0
"CALPRE22","Tomahawk",-91.961,45.924,"wisconsin","R. Calcote",NA,6,0,53,8,2,2,34,0,23,299,7,0
"CALPRE23","Wade",-92.16812,45.98437,"wisconsin","R. Calcote",NA,5,0,50,6,1,2,39,1,32,267,4,3
"CALPRE24","Wagner",-91.858,46.203,"wisconsin","R. Calcote",NA,3,0,65,3,1,5,25,3,23,341,6,0
"CALPRE25","West8Mile",-91.48,46.423,"wisconsin","R. Calcote",NA,1,0,80,4,5,2,16,1,29,183,5,1
"CALPRE26","WestTwin",-91.063,46.6838,"wisconsin","R. Calcote",NA,2,0,34,3,2,1,8,2,10,160,7,0
"CALPRE27","Arrowhead",-89.690237,45.90634,"wisconsin","R. Calcote",NA,1,2,116,8,22,5,29,7,31,315,9,0
"CALPRE28","BigStGermain",-89.519786,45.934297,"wisconsin","R. Calcote",NA,7,0,71,2,14,2,15,5,37,193,9,2
"CALPRE29","Eagle",-89.208192,45.932222,"wisconsin","R. Calcote",NA,4,0,105,4,23,6,24,4,30,250,7,0
"CALPRE30","LittleSpider",-89.708418,45.971148,"wisconsin","R. Calcote",NA,4,0,143,12,34,7,38,5,26,321,7,0
"CALPRE31","Lost",-89.483116,45.965542,"wisconsin","R. Calcote",NA,2,0,87,7,26,3,15,2,23,241,6,0
"CALPRE32","Otter",-89.22145,45.942934,"wisconsin","R. Calcote",NA,3,0,119,5,19,8,14,9,29,291,12,1
"CALPRE33","CircleLily",-89.91917,46.159086,"wisconsin","R. Calcote",NA,3,0,130,8,51,4,23,6,23,280,18,0
"CALPRE34","Round",-89.710237,46.171864,"wisconsin","R. Calcote",NA,0,0,90,1,16,4,9,6,29,117,11,0
"CALPRE35","BigPortage",-89.284923,46.125602,"wisconsin","R. Calcote",NA,1,0,147,4,24,3,13,4,23,347,16,1
"CALPRE36","Moon",-89.434358,45.917883,"wisconsin","R. Calcote",NA,2,0,67,6,10,8,28,3,26,353,3,0
"CALPRE37","Nelson",-89.357161,45.930417,"wisconsin","R. Calcote",NA,4,1,104,4,34,6,29,5,23,459,17,0
"CALPRE38","Oxbow",-89.68285,46.240885,"wisconsin","R. Calcote",NA,6,1,199,5,91,7,27,12,29,232,18,1
"CALPRE39","Vandercook",-89.685207,45.982146,"wisconsin","R. Calcote",NA,1,1,145,10,25,3,26,9,21,370,16,0
"CALPRE40","Day",-89.704896,46.063419,"wisconsin","R. Calcote",NA,1,1,140,4,72,8,22,5,23,159,6,1
"CALPRE41","Katinka",-89.792614,46.205384,"wisconsin","R. Calcote",NA,5,0,203,3,62,0,18,4,40,232,11,1
"CALPRE42","Nebish",-89.590709,46.051978,"wisconsin","R. Calcote",NA,4,1,76,3,42,10,16,5,16,475,25,0
"CALPRE43","Spruce",-89.566965,46.05323,"wisconsin","R. Calcote",NA,5,0,110,8,22,5,19,3,17,289,9,0
"CALPRE44","Pallette09F",-89.6038754,46.0665173,"wisconsin","R. Calcote",NA,0,1,259,7,37,4,26,5,25,308,12,0
"CALPRE45","Allequash07X",-89.6288435,46.0369394,"wisconsin","R. Calcote",NA,2,0,143,4,27,6,16,6,16,193,7,0
"CALPRE46","BigMuskie07X",-89.6996401,45.9208573,"wisconsin","R. Calcote",NA,1,0,185,10,2,8,17,2,51,244,4,0
"CALPRE47","Crystal07X",-89.1780327,46.1567454,"wisconsin","R. Calcote",NA,3,0,49,5,20,3,15,1,11,257,2,0
"CALPRE48","Sparkling07X",-89.6997036,46.0086459,"wisconsin","R. Calcote",NA,6,0,125,7,31,7,29,6,36,338,18,2
